filename,slug,indexStatus,action_taken
animatori-petreceri-copii-aladdin-copaceni.md,animatori-petreceri-copii-aladdin-copaceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-corbeanca.md,animatori-petreceri-copii-aladdin-corbeanca,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-crevedia.md,animatori-petreceri-copii-aladdin-crevedia,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-dascalu.md,animatori-petreceri-copii-aladdin-dascalu,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-dobroesti.md,animatori-petreceri-copii-aladdin-dobroesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-domnesti.md,animatori-petreceri-copii-aladdin-domnesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-dragomiresti-vale.md,animatori-petreceri-copii-aladdin-dragomiresti-vale,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-glina.md,animatori-petreceri-copii-aladdin-glina,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-gradistea.md,animatori-petreceri-copii-aladdin-gradistea,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-gruiu.md,animatori-petreceri-copii-aladdin-gruiu,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-jilava.md,animatori-petreceri-copii-aladdin-jilava,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-joita.md,animatori-petreceri-copii-aladdin-joita,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-magurele.md,animatori-petreceri-copii-aladdin-magurele,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-mihailesti.md,animatori-petreceri-copii-aladdin-mihailesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-moara-vlasiei.md,animatori-petreceri-copii-aladdin-moara-vlasiei,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-mogosoaia.md,animatori-petreceri-copii-aladdin-mogosoaia,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-nuci.md,animatori-petreceri-copii-aladdin-nuci,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-otopeni.md,animatori-petreceri-copii-aladdin-otopeni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-pantelimon.md,animatori-petreceri-copii-aladdin-pantelimon,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-peris.md,animatori-petreceri-copii-aladdin-peris,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-petrachioaia.md,animatori-petreceri-copii-aladdin-petrachioaia,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-popesti-leordeni.md,animatori-petreceri-copii-aladdin-popesti-leordeni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-sabareni.md,animatori-petreceri-copii-aladdin-sabareni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-sector-1.md,animatori-petreceri-copii-aladdin-sector-1,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-sector-2.md,animatori-petreceri-copii-aladdin-sector-2,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-sector-3.md,animatori-petreceri-copii-aladdin-sector-3,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-sector-4.md,animatori-petreceri-copii-aladdin-sector-4,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-sector-5.md,animatori-petreceri-copii-aladdin-sector-5,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-sector-6.md,animatori-petreceri-copii-aladdin-sector-6,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-snagov.md,animatori-petreceri-copii-aladdin-snagov,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-stefanestii-de-jos.md,animatori-petreceri-copii-aladdin-stefanestii-de-jos,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-tancabesti.md,animatori-petreceri-copii-aladdin-tancabesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-tartasesti.md,animatori-petreceri-copii-aladdin-tartasesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-tunari.md,animatori-petreceri-copii-aladdin-tunari,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-vidra.md,animatori-petreceri-copii-aladdin-vidra,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-aladdin-voluntari.md,animatori-petreceri-copii-aladdin-voluntari,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-1-decembrie.md,animatori-petreceri-copii-alba-ca-zapada-1-decembrie,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-adunatii-copaceni.md,animatori-petreceri-copii-alba-ca-zapada-adunatii-copaceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-afumati.md,animatori-petreceri-copii-alba-ca-zapada-afumati,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-balotesti.md,animatori-petreceri-copii-alba-ca-zapada-balotesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-berceni.md,animatori-petreceri-copii-alba-ca-zapada-berceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-bragadiru.md,animatori-petreceri-copii-alba-ca-zapada-bragadiru,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-branesti.md,animatori-petreceri-copii-alba-ca-zapada-branesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-buftea.md,animatori-petreceri-copii-alba-ca-zapada-buftea,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-cernica.md,animatori-petreceri-copii-alba-ca-zapada-cernica,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-chiajna.md,animatori-petreceri-copii-alba-ca-zapada-chiajna,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-chitila.md,animatori-petreceri-copii-alba-ca-zapada-chitila,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-ciocanesti.md,animatori-petreceri-copii-alba-ca-zapada-ciocanesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-ciolpani.md,animatori-petreceri-copii-alba-ca-zapada-ciolpani,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-ciorogarla.md,animatori-petreceri-copii-alba-ca-zapada-ciorogarla,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-clinceni.md,animatori-petreceri-copii-alba-ca-zapada-clinceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-copaceni.md,animatori-petreceri-copii-alba-ca-zapada-copaceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-corbeanca.md,animatori-petreceri-copii-alba-ca-zapada-corbeanca,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-crevedia.md,animatori-petreceri-copii-alba-ca-zapada-crevedia,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-dascalu.md,animatori-petreceri-copii-alba-ca-zapada-dascalu,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-dobroesti.md,animatori-petreceri-copii-alba-ca-zapada-dobroesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-domnesti.md,animatori-petreceri-copii-alba-ca-zapada-domnesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-dragomiresti-vale.md,animatori-petreceri-copii-alba-ca-zapada-dragomiresti-vale,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-ganeasa.md,animatori-petreceri-copii-alba-ca-zapada-ganeasa,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-glina.md,animatori-petreceri-copii-alba-ca-zapada-glina,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-gradistea.md,animatori-petreceri-copii-alba-ca-zapada-gradistea,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-gruiu.md,animatori-petreceri-copii-alba-ca-zapada-gruiu,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-jilava.md,animatori-petreceri-copii-alba-ca-zapada-jilava,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-joita.md,animatori-petreceri-copii-alba-ca-zapada-joita,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-magurele.md,animatori-petreceri-copii-alba-ca-zapada-magurele,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-mihailesti.md,animatori-petreceri-copii-alba-ca-zapada-mihailesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-moara-vlasiei.md,animatori-petreceri-copii-alba-ca-zapada-moara-vlasiei,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-mogosoaia.md,animatori-petreceri-copii-alba-ca-zapada-mogosoaia,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-nuci.md,animatori-petreceri-copii-alba-ca-zapada-nuci,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-otopeni.md,animatori-petreceri-copii-alba-ca-zapada-otopeni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-pantelimon.md,animatori-petreceri-copii-alba-ca-zapada-pantelimon,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-peris.md,animatori-petreceri-copii-alba-ca-zapada-peris,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-petrachioaia.md,animatori-petreceri-copii-alba-ca-zapada-petrachioaia,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-popesti-leordeni.md,animatori-petreceri-copii-alba-ca-zapada-popesti-leordeni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-sabareni.md,animatori-petreceri-copii-alba-ca-zapada-sabareni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-sector-1.md,animatori-petreceri-copii-alba-ca-zapada-sector-1,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-sector-2.md,animatori-petreceri-copii-alba-ca-zapada-sector-2,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-sector-3.md,animatori-petreceri-copii-alba-ca-zapada-sector-3,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-sector-4.md,animatori-petreceri-copii-alba-ca-zapada-sector-4,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-sector-5.md,animatori-petreceri-copii-alba-ca-zapada-sector-5,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-sector-6.md,animatori-petreceri-copii-alba-ca-zapada-sector-6,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-snagov.md,animatori-petreceri-copii-alba-ca-zapada-snagov,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-stefanestii-de-jos.md,animatori-petreceri-copii-alba-ca-zapada-stefanestii-de-jos,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-tancabesti.md,animatori-petreceri-copii-alba-ca-zapada-tancabesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-tartasesti.md,animatori-petreceri-copii-alba-ca-zapada-tartasesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-tunari.md,animatori-petreceri-copii-alba-ca-zapada-tunari,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-vidra.md,animatori-petreceri-copii-alba-ca-zapada-vidra,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-alba-ca-zapada-voluntari.md,animatori-petreceri-copii-alba-ca-zapada-voluntari,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-1-decembrie.md,animatori-petreceri-copii-anna-frozen-1-decembrie,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-adunatii-copaceni.md,animatori-petreceri-copii-anna-frozen-adunatii-copaceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-afumati.md,animatori-petreceri-copii-anna-frozen-afumati,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-balotesti.md,animatori-petreceri-copii-anna-frozen-balotesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-berceni.md,animatori-petreceri-copii-anna-frozen-berceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-bragadiru.md,animatori-petreceri-copii-anna-frozen-bragadiru,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-buftea.md,animatori-petreceri-copii-anna-frozen-buftea,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-cernica.md,animatori-petreceri-copii-anna-frozen-cernica,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-chiajna.md,animatori-petreceri-copii-anna-frozen-chiajna,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-chitila.md,animatori-petreceri-copii-anna-frozen-chitila,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-ciocanesti.md,animatori-petreceri-copii-anna-frozen-ciocanesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-ciolpani.md,animatori-petreceri-copii-anna-frozen-ciolpani,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-ciorogarla.md,animatori-petreceri-copii-anna-frozen-ciorogarla,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-clinceni.md,animatori-petreceri-copii-anna-frozen-clinceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-copaceni.md,animatori-petreceri-copii-anna-frozen-copaceni,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-corbeanca.md,animatori-petreceri-copii-anna-frozen-corbeanca,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-crevedia.md,animatori-petreceri-copii-anna-frozen-crevedia,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-dascalu.md,animatori-petreceri-copii-anna-frozen-dascalu,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-dobroesti.md,animatori-petreceri-copii-anna-frozen-dobroesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-domnesti.md,animatori-petreceri-copii-anna-frozen-domnesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-dragomiresti-vale.md,animatori-petreceri-copii-anna-frozen-dragomiresti-vale,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-glina.md,animatori-petreceri-copii-anna-frozen-glina,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-gradistea.md,animatori-petreceri-copii-anna-frozen-gradistea,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-gruiu.md,animatori-petreceri-copii-anna-frozen-gruiu,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-jilava.md,animatori-petreceri-copii-anna-frozen-jilava,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-joita.md,animatori-petreceri-copii-anna-frozen-joita,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-magurele.md,animatori-petreceri-copii-anna-frozen-magurele,hold,Completely rewritten via permuted ML-anti-doorway algorithm
animatori-petreceri-copii-anna-frozen-mihailesti.md,animatori-petreceri-copii-anna-frozen-mihailesti,hold,Completely rewritten via permuted ML-anti-doorway algorithm
